model,family,dataset_id,seed,lambda,status,error_message,n_train,n_flipped,noisy_train_accuracy,clean_train_accuracy,clean_test_accuracy,clean_test_auc,train_test_gap,noisy_label_fit_rate,clean_label_recovery_rate,confidence_on_flipped_samples
logreg,linear,iris,1,0.4,ok,,105,42,0.5619047619047619,0.8095238095238095,0.8666666666666667,0.9525925925925925,-0.3047619047619048,0.11904761904761904,0.7380952380952381,0.27947328023751444
hist_gbdt,gbdt,iris,1,0.0,ok,,105,0,1.0,1.0,0.9333333333333333,0.9918518518518519,0.06666666666666665,,,
hist_gbdt,gbdt,iris,1,0.05,ok,,105,5,0.9904761904761905,0.9619047619047619,0.9111111111111111,0.9674074074074074,0.07936507936507942,0.8,0.2,0.7742613572569437
hist_gbdt,gbdt,iris,1,0.1,ok,,105,10,0.9333333333333333,0.9714285714285714,0.9111111111111111,0.9800000000000001,0.022222222222222254,0.3,0.7,0.37569892731419813
hist_gbdt,gbdt,iris,1,0.2,ok,,105,21,0.8857142857142857,0.8761904761904762,0.7555555555555555,0.9029629629629629,0.13015873015873014,0.5238095238095238,0.47619047619047616,0.44822191047703214
hist_gbdt,gbdt,iris,1,0.3,ok,,105,32,0.8285714285714286,0.8476190476190476,0.8222222222222222,0.9037037037037038,0.006349206349206438,0.46875,0.53125,0.48232027449047504
hist_gbdt,gbdt,iris,1,0.4,ok,,105,42,0.780952380952381,0.7523809523809524,0.6444444444444445,0.7622222222222222,0.13650793650793647,0.5238095238095238,0.4523809523809524,0.4280171344186348
xgboost,gbdt,iris,1,0.0,ok,,105,0,1.0,1.0,0.9111111111111111,0.965925925925926,0.0888888888888889,,,
xgboost,gbdt,iris,1,0.05,ok,,105,5,1.0,0.9523809523809523,0.9555555555555556,0.991111111111111,0.0444444444444444,1.0,0.0,0.8110693216323852
xgboost,gbdt,iris,1,0.1,ok,,105,10,1.0,0.9047619047619048,0.9111111111111111,0.9711111111111111,0.0888888888888889,1.0,0.0,0.8234643459320068
xgboost,gbdt,iris,1,0.2,ok,,105,21,0.9904761904761905,0.8095238095238095,0.6888888888888889,0.8407407407407409,0.3015873015873016,0.9523809523809523,0.047619047619047616,0.8699222618625277
xgboost,gbdt,iris,1,0.3,ok,,105,32,1.0,0.6952380952380952,0.6666666666666666,0.842962962962963,0.33333333333333337,1.0,0.0,0.9246946834027767
