model,dataset_id,shift_axis,rho,n_lambda,n_failed,max_lambda,base_seed
hist_gbdt,steel-plates-fault,label_noise,0.05,6,4,0.4,2025
hist_gbdt,texture,covariate_shift,0.05,6,4,0.4,2025
hist_gbdt,texture,label_noise,0.2,6,2,0.4,2025
hist_gbdt,tic-tac-toe,covariate_shift,0.4,6,0,0.4,2025
hist_gbdt,tic-tac-toe,label_noise,0.0,6,5,0.4,2025
hist_gbdt,vehicle,covariate_shift,0.0,6,6,0.4,2025
hist_gbdt,vehicle,label_noise,0.0,6,6,0.4,2025
hist_gbdt,vowel,covariate_shift,0.0,6,5,0.4,2025
hist_gbdt,vowel,label_noise,0.05,6,4,0.4,2025
hist_gbdt,wall-robot-navigation,covariate_shift,0.0,6,5,0.4,2025
hist_gbdt,wall-robot-navigation,label_noise,0.1,6,3,0.4,2025
hist_gbdt,wdbc,covariate_shift,0.0,6,6,0.4,2025
hist_gbdt,wdbc,label_noise,0.0,6,4,0.4,2025
logreg,GesturePhaseSegmentation,covariate_shift,0.0,6,6,0.4,2025
logreg,GesturePhaseSegmentation,label_noise,0.0,6,6,0.4,2025
logreg,MiceProtein,covariate_shift,0.3,6,1,0.4,2025
logreg,MiceProtein,label_noise,0.05,6,4,0.4,2025
logreg,PhishingWebsites,covariate_shift,0.0,6,6,0.4,2025
logreg,PhishingWebsites,label_noise,0.0,6,6,0.4,2025
logreg,analcatdata_authorship,covariate_shift,0.1,6,3,0.4,2025
logreg,analcatdata_authorship,label_noise,0.0,6,5,0.4,2025
logreg,breast-w,covariate_shift,0.1,6,3,0.4,2025
logreg,breast-w,label_noise,0.0,6,5,0.4,2025
logreg,car,covariate_shift,0.0,6,6,0.4,2025
logreg,car,label_noise,0.0,6,6,0.4,2025
logreg,churn,covariate_shift,0.0,6,6,0.4,2025
logreg,churn,label_noise,0.0,6,6,0.4,2025
logreg,climate-model-simulation-crashes,covariate_shift,0.1,6,3,0.4,2025
logreg,climate-model-simulation-crashes,label_noise,0.0,6,5,0.4,2025
logreg,cmc,covariate_shift,0.0,6,6,0.4,2025
logreg,cmc,label_noise,0.0,6,6,0.4,2025
logreg,cnae-9,covariate_shift,0.2,6,2,0.4,2025
logreg,cnae-9,label_noise,0.05,6,4,0.4,2025
logreg,credit-approval,covariate_shift,0.2,6,2,0.4,2025
logreg,credit-approval,label_noise,0.05,6,4,0.4,2025
logreg,credit-g,covariate_shift,0.0,6,6,0.4,2025
logreg,credit-g,label_noise,0.0,6,6,0.4,2025
logreg,diabetes,covariate_shift,0.05,6,4,0.4,2025
logreg,diabetes,label_noise,0.1,6,3,0.4,2025
logreg,dna,covariate_shift,0.4,6,0,0.4,2025
logreg,dna,label_noise,0.0,6,5,0.4,2025
logreg,dresses-sales,covariate_shift,0.0,6,6,0.4,2025
logreg,dresses-sales,label_noise,0.0,6,6,0.4,2025
logreg,eucalyptus,covariate_shift,0.0,6,5,0.4,2025
logreg,eucalyptus,label_noise,0.0,6,5,0.4,2025
logreg,first-order-theorem-proving,covariate_shift,0.0,6,6,0.4,2025
logreg,first-order-theorem-proving,label_noise,0.0,6,6,0.4,2025
logreg,ilpd,covariate_shift,0.0,6,5,0.4,2025
logreg,ilpd,label_noise,0.0,6,5,0.4,2025
logreg,kc1,covariate_shift,0.4,6,0,0.4,2025
logreg,kc1,label_noise,0.05,6,4,0.4,2025
logreg,kr-vs-kp,covariate_shift,0.0,6,6,0.4,2025
logreg,kr-vs-kp,label_noise,0.0,6,6,0.4,2025
logreg,mfeat-factors,covariate_shift,0.2,6,2,0.4,2025
logreg,mfeat-factors,label_noise,0.0,6,5,0.4,2025
logreg,mfeat-fourier,covariate_shift,0.05,6,4,0.4,2025
logreg,mfeat-fourier,label_noise,0.0,6,5,0.4,2025
logreg,mfeat-karhunen,covariate_shift,0.1,6,3,0.4,2025
logreg,mfeat-karhunen,label_noise,0.0,6,5,0.4,2025
logreg,mfeat-morphological,covariate_shift,0.1,6,3,0.4,2025
logreg,mfeat-morphological,label_noise,0.05,6,4,0.4,2025
logreg,mfeat-zernike,covariate_shift,0.1,6,3,0.4,2025
logreg,mfeat-zernike,label_noise,0.05,6,4,0.4,2025
logreg,optdigits,covariate_shift,0.2,6,2,0.4,2025
logreg,optdigits,label_noise,0.0,6,5,0.4,2025
logreg,ozone-level-8hr,covariate_shift,0.3,6,1,0.4,2025
logreg,ozone-level-8hr,label_noise,0.0,6,5,0.4,2025
logreg,pc1,covariate_shift,0.3,6,1,0.4,2025
logreg,pc1,label_noise,0.0,6,5,0.4,2025
logreg,pc3,covariate_shift,0.4,6,0,0.4,2025
logreg,pc3,label_noise,0.0,6,5,0.4,2025
logreg,pc4,covariate_shift,0.0,6,6,0.4,2025
logreg,pc4,label_noise,0.0,6,6,0.4,2025
logreg,pendigits,covariate_shift,0.0,6,6,0.4,2025
logreg,pendigits,label_noise,0.0,6,6,0.4,2025
logreg,phoneme,covariate_shift,0.0,6,6,0.4,2025
logreg,phoneme,label_noise,0.0,6,6,0.4,2025
logreg,qsar-biodeg,covariate_shift,0.0,6,5,0.4,2025
logreg,qsar-biodeg,label_noise,0.05,6,4,0.4,2025
logreg,satimage,covariate_shift,0.0,6,6,0.4,2025
logreg,satimage,label_noise,0.0,6,6,0.4,2025
logreg,segment,covariate_shift,0.0,6,6,0.4,2025
logreg,segment,label_noise,0.0,6,6,0.4,2025
logreg,spambase,covariate_shift,0.0,6,6,0.4,2025
logreg,spambase,label_noise,0.0,6,6,0.4,2025
logreg,splice,covariate_shift,0.4,6,0,0.4,2025
logreg,splice,label_noise,0.0,6,5,0.4,2025
logreg,steel-plates-fault,covariate_shift,0.05,6,4,0.4,2025
logreg,steel-plates-fault,label_noise,0.0,6,5,0.4,2025
logreg,texture,covariate_shift,0.1,6,3,0.4,2025
logreg,texture,label_noise,0.0,6,5,0.4,2025
logreg,tic-tac-toe,covariate_shift,0.0,6,6,0.4,2025
logreg,tic-tac-toe,label_noise,0.0,6,6,0.4,2025
logreg,vehicle,covariate_shift,0.05,6,4,0.4,2025
logreg,vehicle,label_noise,0.0,6,5,0.4,2025
logreg,vowel,covariate_shift,0.0,6,6,0.4,2025
logreg,vowel,label_noise,0.0,6,6,0.4,2025
logreg,wall-robot-navigation,covariate_shift,0.0,6,6,0.4,2025
logreg,wall-robot-navigation,label_noise,0.0,6,6,0.4,2025
logreg,wdbc,covariate_shift,0.05,6,4,0.4,2025
logreg,wdbc,label_noise,0.05,6,4,0.4,2025
tabicl,GesturePhaseSegmentation,covariate_shift,0.0,6,5,0.4,2025
tabicl,GesturePhaseSegmentation,label_noise,0.1,6,3,0.4,2025
tabicl,MiceProtein,covariate_shift,0.3,6,1,0.4,2025
tabicl,MiceProtein,label_noise,0.1,6,3,0.4,2025
tabicl,PhishingWebsites,covariate_shift,0.4,6,0,0.4,2025
tabicl,PhishingWebsites,label_noise,0.05,6,4,0.4,2025
tabicl,analcatdata_authorship,covariate_shift,0.1,6,3,0.4,2025
tabicl,analcatdata_authorship,label_noise,0.1,6,3,0.4,2025
tabicl,breast-w,covariate_shift,0.0,6,5,0.4,2025
tabicl,breast-w,label_noise,0.05,6,4,0.4,2025
tabicl,car,covariate_shift,0.4,6,0,0.4,2025
tabicl,car,label_noise,0.05,6,4,0.4,2025
tabicl,churn,covariate_shift,0.05,6,4,0.4,2025
tabicl,churn,label_noise,0.1,6,3,0.4,2025
tabicl,climate-model-simulation-crashes,covariate_shift,0.1,6,3,0.4,2025
tabicl,climate-model-simulation-crashes,label_noise,0.0,6,5,0.4,2025
tabicl,cmc,covariate_shift,0.0,6,6,0.4,2025
tabicl,cmc,label_noise,0.0,6,6,0.4,2025
tabicl,cnae-9,covariate_shift,0.0,6,5,0.4,2025
