aure,robust_fraction,abs_utility_area,abs_ece_radius,abs_auc_radius,self_ref_radius,auc_retention,utility_drop,admitted,rho_grid,model,dataset_id
0.0,0.16666666666666666,0.004999999999999995,0.1,0.2,0.0,0.9300719847216102,0.6965070787180216,True,0.0,catboost,wdbc
0.05,0.3333333333333333,0.007464395862918406,0.1,0.2,0.05,0.9485529601880419,0.13609286388732827,True,0.05,catboost,wdbc
0.0,0.16666666666666666,0.0074012012621447005,0.0,0.0,0.0,0.7554598455862388,0.5133969306538363,True,0.0,hist_gbdt,GesturePhaseSegmentation
0.2,0.6666666666666666,0.016636003953808983,0.4,0.2,0.1,0.9498452574058636,0.053159255246177685,True,0.2,hist_gbdt,GesturePhaseSegmentation
0.0,0.16666666666666666,0.002012196364380594,0.05,0.1,0.0,0.8449554841315239,0.7649264900576911,True,0.0,hist_gbdt,MiceProtein
0.1,0.5,0.00897728748617744,0.4,0.4,0.1,0.9901679950838063,0.042074338392026636,True,0.1,hist_gbdt,MiceProtein
0.4,1.0,0.024878229728308943,0.4,0.4,0.4,1.0,-0.0,True,0.4,hist_gbdt,PhishingWebsites
0.0,0.16666666666666666,0.004146371621384824,0.1,0.3,0.0,0.9686928881094892,0.1515822704939585,True,0.0,hist_gbdt,PhishingWebsites
0.05,0.3333333333333333,0.009703462956961117,0.1,0.2,0.05,0.9551064390145247,0.6434857057844942,True,0.05,hist_gbdt,analcatdata_authorship
0.2,0.6666666666666666,0.01738898878972549,0.4,0.4,0.2,0.9912382591723586,0.04244420796529601,True,0.2,hist_gbdt,analcatdata_authorship
0.05,0.3333333333333333,0.003852469474152446,0.1,0.4,0.1,0.9939621112349307,0.32827331181773234,True,0.05,hist_gbdt,breast-w
0.0,0.16666666666666666,0.001497463618090204,0.1,0.2,0.05,0.920615945699524,0.1464438161485404,True,0.0,hist_gbdt,breast-w
0.4,1.0,0.03700365130317357,0.4,0.4,0.4,1.0,-0.0,True,0.4,hist_gbdt,car
0.05,0.3333333333333333,0.00852653723831892,0.2,0.2,0.05,0.9450259191009247,0.12767721373546168,True,0.05,hist_gbdt,car
