model,dataset_id,shift_axis,base_seed,rho,n_lambda,n_failed,max_lambda
catboost_tuned,mfeat-morphological,covariate_shift,2025,0.1,6,3,0.4
catboost_tuned,mfeat-morphological,label_noise,42,0.1,6,3,0.4
catboost_tuned,mfeat-morphological,label_noise,1337,0.1,6,3,0.4
catboost_tuned,mfeat-morphological,label_noise,2025,0.1,6,3,0.4
catboost_tuned,mfeat-zernike,covariate_shift,42,0.1,6,3,0.4
catboost_tuned,mfeat-zernike,covariate_shift,1337,0.1,6,3,0.4
catboost_tuned,mfeat-zernike,covariate_shift,2025,0.1,6,3,0.4
catboost_tuned,mfeat-zernike,label_noise,42,0.05,6,4,0.4
catboost_tuned,mfeat-zernike,label_noise,1337,0.05,6,4,0.4
catboost_tuned,mfeat-zernike,label_noise,2025,0.05,6,4,0.4
catboost_tuned,optdigits,covariate_shift,42,0.1,6,3,0.4
catboost_tuned,optdigits,covariate_shift,1337,0.1,6,3,0.4
catboost_tuned,optdigits,covariate_shift,2025,0.1,6,3,0.4
catboost_tuned,optdigits,label_noise,42,0.0,6,5,0.4
catboost_tuned,optdigits,label_noise,1337,0.05,6,4,0.4
catboost_tuned,optdigits,label_noise,2025,0.05,6,4,0.4
catboost_tuned,ozone-level-8hr,covariate_shift,42,0.2,6,2,0.4
catboost_tuned,ozone-level-8hr,covariate_shift,1337,0.2,6,2,0.4
catboost_tuned,ozone-level-8hr,covariate_shift,2025,0.2,6,2,0.4
catboost_tuned,ozone-level-8hr,label_noise,42,0.05,6,4,0.4
catboost_tuned,ozone-level-8hr,label_noise,1337,0.05,6,4,0.4
catboost_tuned,ozone-level-8hr,label_noise,2025,0.0,6,5,0.4
catboost_tuned,pc1,covariate_shift,42,0.0,6,5,0.4
catboost_tuned,pc1,covariate_shift,1337,0.05,6,4,0.4
catboost_tuned,pc1,covariate_shift,2025,0.0,6,5,0.4
catboost_tuned,pc1,label_noise,42,0.05,6,4,0.4
catboost_tuned,pc1,label_noise,1337,0.05,6,4,0.4
catboost_tuned,pc1,label_noise,2025,0.0,6,5,0.4
catboost_tuned,pc3,covariate_shift,42,0.1,6,3,0.4
catboost_tuned,pc3,covariate_shift,1337,0.05,6,4,0.4
catboost_tuned,pc3,covariate_shift,2025,0.05,6,4,0.4
catboost_tuned,pc3,label_noise,42,0.05,6,4,0.4
catboost_tuned,pc3,label_noise,1337,0.05,6,4,0.4
catboost_tuned,pc3,label_noise,2025,0.05,6,4,0.4
catboost_tuned,pc4,covariate_shift,42,0.0,6,5,0.4
catboost_tuned,pc4,covariate_shift,1337,0.0,6,5,0.4
catboost_tuned,pc4,covariate_shift,2025,0.0,6,5,0.4
catboost_tuned,pc4,label_noise,42,0.0,6,5,0.4
catboost_tuned,pc4,label_noise,1337,0.05,6,4,0.4
catboost_tuned,pc4,label_noise,2025,0.05,6,4,0.4
catboost_tuned,pendigits,covariate_shift,42,0.1,6,3,0.4
catboost_tuned,pendigits,covariate_shift,1337,0.1,6,3,0.4
catboost_tuned,pendigits,covariate_shift,2025,0.1,6,3,0.4
catboost_tuned,pendigits,label_noise,42,0.05,6,4,0.4
catboost_tuned,pendigits,label_noise,1337,0.05,6,4,0.4
catboost_tuned,pendigits,label_noise,2025,0.05,6,4,0.4
catboost_tuned,phoneme,covariate_shift,42,0.0,6,5,0.4
catboost_tuned,phoneme,covariate_shift,1337,0.0,6,5,0.4
catboost_tuned,phoneme,covariate_shift,2025,0.0,6,5,0.4
catboost_tuned,phoneme,label_noise,42,0.05,6,4,0.4
catboost_tuned,phoneme,label_noise,1337,0.05,6,4,0.4
catboost_tuned,phoneme,label_noise,2025,0.05,6,4,0.4
catboost_tuned,qsar-biodeg,covariate_shift,42,0.0,6,5,0.4
catboost_tuned,qsar-biodeg,covariate_shift,1337,0.0,6,5,0.4
catboost_tuned,qsar-biodeg,covariate_shift,2025,0.0,6,5,0.4
catboost_tuned,qsar-biodeg,label_noise,42,0.05,6,4,0.4
catboost_tuned,qsar-biodeg,label_noise,1337,0.1,6,3,0.4
catboost_tuned,qsar-biodeg,label_noise,2025,0.05,6,4,0.4
catboost_tuned,satimage,covariate_shift,42,0.05,6,4,0.4
catboost_tuned,satimage,covariate_shift,1337,0.05,6,4,0.4
catboost_tuned,satimage,covariate_shift,2025,0.05,6,4,0.4
catboost_tuned,satimage,label_noise,42,0.05,6,4,0.4
catboost_tuned,satimage,label_noise,1337,0.05,6,4,0.4
catboost_tuned,satimage,label_noise,2025,0.05,6,4,0.4
catboost_tuned,segment,covariate_shift,42,0.0,6,5,0.4
catboost_tuned,segment,covariate_shift,1337,0.0,6,5,0.4
catboost_tuned,segment,covariate_shift,2025,0.0,6,5,0.4
catboost_tuned,segment,label_noise,42,0.05,6,4,0.4
catboost_tuned,segment,label_noise,1337,0.0,6,5,0.4
catboost_tuned,segment,label_noise,2025,0.05,6,4,0.4
