model,dataset_id,shift_axis,rho,n_lambda,n_failed,max_lambda
hist_gbdt,diabetes,label_noise,0.0,6,6,0.4
hist_gbdt,dna,covariate_shift,0.4,6,0,0.4
hist_gbdt,dna,label_noise,0.1,6,3,0.4
hist_gbdt,dresses-sales,covariate_shift,0.0,6,6,0.4
hist_gbdt,dresses-sales,label_noise,0.0,6,6,0.4
hist_gbdt,eucalyptus,covariate_shift,0.0,6,6,0.4
hist_gbdt,eucalyptus,label_noise,0.0,6,6,0.4
hist_gbdt,first-order-theorem-proving,covariate_shift,0.0,6,6,0.4
hist_gbdt,first-order-theorem-proving,label_noise,0.0,6,5,0.4
hist_gbdt,ilpd,covariate_shift,0.0,6,6,0.4
hist_gbdt,ilpd,label_noise,0.0,6,6,0.4
hist_gbdt,kc1,covariate_shift,0.0,6,6,0.4
hist_gbdt,kc1,label_noise,0.0,6,5,0.4
hist_gbdt,kr-vs-kp,covariate_shift,0.4,6,0,0.4
hist_gbdt,kr-vs-kp,label_noise,0.0,6,5,0.4
hist_gbdt,mfeat-factors,covariate_shift,0.1,6,3,0.4
hist_gbdt,mfeat-factors,label_noise,0.2,6,2,0.4
hist_gbdt,mfeat-fourier,covariate_shift,0.0,6,5,0.4
hist_gbdt,mfeat-fourier,label_noise,0.05,6,4,0.4
hist_gbdt,mfeat-karhunen,covariate_shift,0.05,6,4,0.4
hist_gbdt,mfeat-karhunen,label_noise,0.2,6,2,0.4
hist_gbdt,mfeat-morphological,covariate_shift,0.0,6,6,0.4
hist_gbdt,mfeat-morphological,label_noise,0.0,6,6,0.4
hist_gbdt,mfeat-zernike,covariate_shift,0.0,6,6,0.4
hist_gbdt,mfeat-zernike,label_noise,0.0,6,6,0.4
hist_gbdt,optdigits,covariate_shift,0.1,6,3,0.4
hist_gbdt,optdigits,label_noise,0.2,6,2,0.4
hist_gbdt,ozone-level-8hr,covariate_shift,0.0,6,6,0.4
hist_gbdt,ozone-level-8hr,label_noise,0.0,6,6,0.4
hist_gbdt,pc1,covariate_shift,0.0,6,6,0.4
hist_gbdt,pc1,label_noise,0.0,6,6,0.4
hist_gbdt,pc3,covariate_shift,0.0,6,6,0.4
hist_gbdt,pc3,label_noise,0.0,6,6,0.4
hist_gbdt,pc4,covariate_shift,0.0,6,6,0.4
hist_gbdt,pc4,label_noise,0.0,6,6,0.4
hist_gbdt,pendigits,covariate_shift,0.05,6,4,0.4
hist_gbdt,pendigits,label_noise,0.1,6,3,0.4
hist_gbdt,phoneme,covariate_shift,0.0,6,5,0.4
hist_gbdt,phoneme,label_noise,0.05,6,4,0.4
hist_gbdt,qsar-biodeg,covariate_shift,0.0,6,6,0.4
hist_gbdt,qsar-biodeg,label_noise,0.0,6,6,0.4
hist_gbdt,satimage,covariate_shift,0.0,6,5,0.4
hist_gbdt,satimage,label_noise,0.1,6,3,0.4
hist_gbdt,segment,covariate_shift,0.0,6,5,0.4
hist_gbdt,segment,label_noise,0.1,6,3,0.4
hist_gbdt,spambase,covariate_shift,0.0,6,5,0.4
hist_gbdt,spambase,label_noise,0.05,6,4,0.4
hist_gbdt,splice,covariate_shift,0.4,6,0,0.4
hist_gbdt,splice,label_noise,0.1,6,3,0.4
hist_gbdt,steel-plates-fault,covariate_shift,0.4,6,0,0.4
hist_gbdt,steel-plates-fault,label_noise,0.05,6,4,0.4
hist_gbdt,texture,covariate_shift,0.05,6,4,0.4
hist_gbdt,texture,label_noise,0.2,6,2,0.4
hist_gbdt,tic-tac-toe,covariate_shift,0.4,6,0,0.4
hist_gbdt,tic-tac-toe,label_noise,0.0,6,5,0.4
hist_gbdt,vehicle,covariate_shift,0.0,6,6,0.4
hist_gbdt,vehicle,label_noise,0.0,6,6,0.4
hist_gbdt,vowel,covariate_shift,0.0,6,5,0.4
hist_gbdt,vowel,label_noise,0.1,6,3,0.4
hist_gbdt,wall-robot-navigation,covariate_shift,0.0,6,5,0.4
hist_gbdt,wall-robot-navigation,label_noise,0.1,6,3,0.4
hist_gbdt,wdbc,covariate_shift,0.0,6,5,0.4
hist_gbdt,wdbc,label_noise,0.1,6,3,0.4
logreg,GesturePhaseSegmentation,covariate_shift,0.0,6,6,0.4
logreg,GesturePhaseSegmentation,label_noise,0.0,6,6,0.4
logreg,MiceProtein,covariate_shift,0.3,6,1,0.4
logreg,MiceProtein,label_noise,0.05,6,4,0.4
logreg,PhishingWebsites,covariate_shift,0.0,6,6,0.4
logreg,PhishingWebsites,label_noise,0.0,6,6,0.4
logreg,analcatdata_authorship,covariate_shift,0.2,6,2,0.4
logreg,analcatdata_authorship,label_noise,0.0,6,5,0.4
logreg,breast-w,covariate_shift,0.1,6,3,0.4
logreg,breast-w,label_noise,0.0,6,5,0.4
logreg,car,covariate_shift,0.0,6,6,0.4
logreg,car,label_noise,0.0,6,6,0.4
logreg,churn,covariate_shift,0.0,6,6,0.4
logreg,churn,label_noise,0.0,6,6,0.4
logreg,climate-model-simulation-crashes,covariate_shift,0.3,6,1,0.4
logreg,climate-model-simulation-crashes,label_noise,0.05,6,4,0.4
logreg,cmc,covariate_shift,0.0,6,6,0.4
logreg,cmc,label_noise,0.0,6,6,0.4
logreg,cnae-9,covariate_shift,0.2,6,2,0.4
logreg,cnae-9,label_noise,0.0,6,5,0.4
logreg,credit-approval,covariate_shift,0.2,6,2,0.4
logreg,credit-approval,label_noise,0.1,6,3,0.4
logreg,credit-g,covariate_shift,0.1,6,3,0.4
logreg,credit-g,label_noise,0.1,6,3,0.4
logreg,diabetes,covariate_shift,0.0,6,4,0.4
logreg,diabetes,label_noise,0.0,6,4,0.4
logreg,dna,covariate_shift,0.0,6,6,0.4
logreg,dna,label_noise,0.0,6,6,0.4
logreg,dresses-sales,covariate_shift,0.0,6,6,0.4
logreg,dresses-sales,label_noise,0.0,6,6,0.4
logreg,eucalyptus,covariate_shift,0.0,6,5,0.4
logreg,eucalyptus,label_noise,0.05,6,4,0.4
logreg,first-order-theorem-proving,covariate_shift,0.0,6,6,0.4
logreg,first-order-theorem-proving,label_noise,0.0,6,6,0.4
logreg,ilpd,covariate_shift,0.0,6,6,0.4
logreg,ilpd,label_noise,0.0,6,6,0.4
logreg,kc1,covariate_shift,0.4,6,0,0.4
