dataset_id,model,family,shift_axis,shift_lambda,variant_seed,split_policy,clean_split_passed,leakage_risk_level,applicable,status,error_message,accuracy,auc,nll,nll_norm,ece,utility,n_train,best_gbdt,reference_utility,failed,failure_reason,metric_notes,base_seed
kr-vs-kp,tabpfn_client,icl,label_noise,0.4,2427008519,train_only,True,low,True,ok,,0.8644421272158499,0.9462080206399429,0.5736362453157585,0.8275821663912097,0.28621623773207516,0.15532122884257954,2237,,,True,ece;nll,,2025
optdigits,tabicl,icl,covariate_shift,0.0,3277177224,test_only,True,low,True,ok,,0.9970344009489917,0.9999843989205667,0.01201734467955754,0.005219066481461241,0.002890069341016822,0.49740596595190534,3934,,,False,,,2025
optdigits,tabicl,icl,covariate_shift,0.05,3691502328,test_only,True,low,True,ok,,0.9905100830367735,0.9999417114368386,0.1170708476586041,0.050843223129867984,0.07938418572061673,0.46742630737532576,3934,,,False,,,2025
optdigits,tabicl,icl,covariate_shift,0.1,3401151475,test_only,True,low,True,ok,,0.9715302491103203,0.9998534892233488,0.20415688165147786,0.08866420714381207,0.11605833690962687,0.4458673290696511,3934,,,True,ece,,2025
optdigits,tabicl,icl,covariate_shift,0.2,466690498,test_only,True,low,True,ok,,0.9727164887307236,0.9996457731526712,0.31207384619641504,0.13553194934942714,0.20021815646849153,0.415080277814517,3934,,,True,ece,,2025
optdigits,tabicl,icl,covariate_shift,0.3,529969083,test_only,True,low,True,ok,,0.9780545670225386,0.9995053729909641,0.5074685439173189,0.22039078836276957,0.33967772254082784,0.3624822845832218,3934,,,True,ece,,2025
optdigits,tabicl,icl,covariate_shift,0.4,3325882813,test_only,True,low,True,ok,,0.9501779359430605,0.9984633323448072,0.8695416626409478,0.37763714586994257,0.4974416457910174,0.2792093837929553,3934,,,True,ece,,2025
optdigits,tabpfn_client,icl,covariate_shift,0.0,3277177224,test_only,True,low,True,ok,,0.9976275207591934,0.9999793134489117,0.01365547592544827,0.005930497842184884,0.004658251375041262,0.4969260881933344,3934,,,False,,,2025
optdigits,tabpfn_client,icl,covariate_shift,0.05,3691502328,test_only,True,low,True,ok,,0.9887307236061684,0.9998488286097784,0.4644908629864859,0.2017258186895102,0.3432807821288124,0.36908279652173215,3934,,,True,ece,,2025
optdigits,tabpfn_client,icl,covariate_shift,0.1,3401151475,test_only,True,low,True,ok,,0.9899169632265717,0.9998636879711154,0.4253615377471516,0.18473216865746966,0.3217915767605524,0.3786618693245247,3934,,,True,ece,,2025
optdigits,tabpfn_client,icl,covariate_shift,0.2,466690498,test_only,True,low,True,ok,,0.9833926453143536,0.9996829246353339,0.4674885458821022,0.20302769582957214,0.33846220984638953,0.36879716970137033,3934,,,True,ece,,2025
optdigits,tabpfn_client,icl,covariate_shift,0.3,529969083,test_only,True,low,True,ok,,0.9306049822064056,0.9985598968845897,0.6351351048637462,0.2758356713053682,0.35903672351344207,0.33452866514626833,3934,,,True,ece,,2025
