tau_utility,tau_ece,tau_nll,lambda0_fail_max,lambda0_fail_mean,n_common,aure_catboost,aure_hist_gbdt,aure_logreg,aure_tabicl,aure_tabpfn_client,aure_xgboost,margin,margin_common
0.01,0.2,1.5,0.6666666666666666,0.31111111111111106,10,0.07307692307692308,0.021153846153846155,0.12884615384615386,0.2173076923076923,0.2173076923076923,0.03076923076923077,0.14423076923076922,0.04999999999999999
0.01,0.25,0.3,0.6666666666666666,0.31111111111111106,10,0.07307692307692308,0.021153846153846155,0.12884615384615386,0.2173076923076923,0.2173076923076923,0.03076923076923077,0.14423076923076922,0.04999999999999999
0.01,0.25,0.5,0.6666666666666666,0.31111111111111106,10,0.07307692307692308,0.021153846153846155,0.12884615384615386,0.2173076923076923,0.2173076923076923,0.03076923076923077,0.14423076923076922,0.04999999999999999
0.01,0.25,0.75,0.6666666666666666,0.31111111111111106,10,0.07307692307692308,0.021153846153846155,0.12884615384615386,0.2173076923076923,0.2173076923076923,0.03076923076923077,0.14423076923076922,0.04999999999999999
0.01,0.25,1.0,0.6666666666666666,0.31111111111111106,10,0.07307692307692308,0.021153846153846155,0.12884615384615386,0.2173076923076923,0.2173076923076923,0.03076923076923077,0.14423076923076922,0.04999999999999999
0.01,0.25,1.25,0.6666666666666666,0.31111111111111106,10,0.07307692307692308,0.021153846153846155,0.12884615384615386,0.2173076923076923,0.2173076923076923,0.03076923076923077,0.14423076923076922,0.04999999999999999
0.01,0.25,1.5,0.6666666666666666,0.31111111111111106,10,0.07307692307692308,0.021153846153846155,0.12884615384615386,0.2173076923076923,0.2173076923076923,0.03076923076923077,0.14423076923076922,0.04999999999999999
0.02,0.05,0.3,0.6666666666666666,0.4333333333333333,10,0.07500000000000001,0.06923076923076923,0.08269230769230769,0.175,0.17884615384615385,0.07307692307692308,0.09999999999999998,-0.015000000000000013
0.02,0.05,0.5,0.6666666666666666,0.4333333333333333,10,0.07500000000000001,0.06923076923076923,0.08269230769230769,0.175,0.17884615384615385,0.07307692307692308,0.09999999999999998,-0.015000000000000013
0.02,0.05,0.75,0.6666666666666666,0.4333333333333333,10,0.07500000000000001,0.06923076923076923,0.08269230769230769,0.175,0.17884615384615385,0.07307692307692308,0.09999999999999998,-0.015000000000000013
