model,dataset_id,shift_axis,rho,n_lambda,n_failed,max_lambda,base_seed
logreg,optdigits,covariate_shift,0.2,6,2,0.4,1337
logreg,optdigits,label_noise,0.0,6,5,0.4,1337
logreg,pc1,covariate_shift,0.2,6,2,0.4,1337
logreg,pc1,label_noise,0.0,6,5,0.4,1337
logreg,splice,covariate_shift,0.4,6,0,0.4,1337
logreg,splice,label_noise,0.0,6,5,0.4,1337
logreg,steel-plates-fault,covariate_shift,0.05,6,4,0.4,1337
logreg,steel-plates-fault,label_noise,0.0,6,5,0.4,1337
logreg,vehicle,covariate_shift,0.2,6,2,0.4,1337
logreg,vehicle,label_noise,0.0,6,5,0.4,1337
logreg,wdbc,covariate_shift,0.05,6,4,0.4,1337
logreg,wdbc,label_noise,0.0,6,5,0.4,1337
tabicl,car,covariate_shift,0.4,6,0,0.4,1337
tabicl,car,label_noise,0.05,6,4,0.4,1337
tabicl,churn,covariate_shift,0.0,6,5,0.4,1337
tabicl,churn,label_noise,0.05,6,4,0.4,1337
tabicl,credit-approval,covariate_shift,0.0,6,5,0.4,1337
tabicl,credit-approval,label_noise,0.05,6,4,0.4,1337
tabicl,credit-g,covariate_shift,0.4,6,0,0.4,1337
tabicl,credit-g,label_noise,0.05,6,4,0.4,1337
tabicl,eucalyptus,covariate_shift,0.05,6,4,0.4,1337
tabicl,eucalyptus,label_noise,0.0,6,4,0.4,1337
tabicl,kr-vs-kp,covariate_shift,0.4,6,0,0.4,1337
tabicl,kr-vs-kp,label_noise,0.0,6,5,0.4,1337
tabicl,optdigits,covariate_shift,0.1,6,3,0.4,1337
tabicl,optdigits,label_noise,0.1,6,3,0.4,1337
tabicl,pc1,covariate_shift,0.05,6,4,0.4,1337
tabicl,pc1,label_noise,0.1,6,3,0.4,1337
tabicl,splice,covariate_shift,0.4,6,0,0.4,1337
tabicl,splice,label_noise,0.1,6,3,0.4,1337
tabicl,steel-plates-fault,covariate_shift,0.0,6,5,0.4,1337
tabicl,steel-plates-fault,label_noise,0.05,6,4,0.4,1337
tabicl,vehicle,covariate_shift,0.1,6,3,0.4,1337
tabicl,vehicle,label_noise,0.1,6,3,0.4,1337
tabicl,wdbc,covariate_shift,0.0,6,5,0.4,1337
tabicl,wdbc,label_noise,0.05,6,4,0.4,1337
tabpfn_client,car,covariate_shift,0.4,6,0,0.4,1337
tabpfn_client,car,label_noise,0.05,6,4,0.4,1337
tabpfn_client,churn,covariate_shift,0.1,6,3,0.4,1337
tabpfn_client,churn,label_noise,0.0,6,5,0.4,1337
tabpfn_client,credit-approval,covariate_shift,0.0,6,5,0.4,1337
tabpfn_client,credit-approval,label_noise,0.05,6,4,0.4,1337
tabpfn_client,credit-g,covariate_shift,0.3,6,1,0.4,1337
tabpfn_client,credit-g,label_noise,0.05,6,4,0.4,1337
tabpfn_client,eucalyptus,covariate_shift,0.1,6,3,0.4,1337
tabpfn_client,eucalyptus,label_noise,0.0,6,4,0.4,1337
tabpfn_client,kr-vs-kp,covariate_shift,0.4,6,0,0.4,1337
tabpfn_client,kr-vs-kp,label_noise,0.05,6,4,0.4,1337
tabpfn_client,optdigits,covariate_shift,0.0,6,5,0.4,1337
tabpfn_client,optdigits,label_noise,0.1,6,3,0.4,1337
tabpfn_client,pc1,covariate_shift,0.1,6,3,0.4,1337
tabpfn_client,pc1,label_noise,0.1,6,3,0.4,1337
tabpfn_client,splice,covariate_shift,0.4,6,0,0.4,1337
tabpfn_client,splice,label_noise,0.05,6,4,0.4,1337
tabpfn_client,steel-plates-fault,covariate_shift,0.0,6,5,0.4,1337
tabpfn_client,steel-plates-fault,label_noise,0.05,6,4,0.4,1337
tabpfn_client,vehicle,covariate_shift,0.1,6,3,0.4,1337
tabpfn_client,vehicle,label_noise,0.05,6,4,0.4,1337
tabpfn_client,wdbc,covariate_shift,0.05,6,4,0.4,1337
tabpfn_client,wdbc,label_noise,0.05,6,4,0.4,1337
xgboost,car,covariate_shift,0.4,6,0,0.4,1337
xgboost,car,label_noise,0.05,6,4,0.4,1337
xgboost,churn,covariate_shift,0.0,6,6,0.4,1337
xgboost,churn,label_noise,0.0,6,6,0.4,1337
xgboost,credit-approval,covariate_shift,0.0,6,6,0.4,1337
xgboost,credit-approval,label_noise,0.0,6,6,0.4,1337
xgboost,credit-g,covariate_shift,0.0,6,6,0.4,1337
xgboost,credit-g,label_noise,0.0,6,6,0.4,1337
xgboost,eucalyptus,covariate_shift,0.0,6,6,0.4,1337
xgboost,eucalyptus,label_noise,0.0,6,6,0.4,1337
xgboost,kr-vs-kp,covariate_shift,0.4,6,0,0.4,1337
xgboost,kr-vs-kp,label_noise,0.0,6,5,0.4,1337
xgboost,optdigits,covariate_shift,0.1,6,3,0.4,1337
xgboost,optdigits,label_noise,0.2,6,2,0.4,1337
xgboost,pc1,covariate_shift,0.0,6,6,0.4,1337
xgboost,pc1,label_noise,0.0,6,6,0.4,1337
xgboost,splice,covariate_shift,0.4,6,0,0.4,1337
xgboost,splice,label_noise,0.1,6,3,0.4,1337
xgboost,steel-plates-fault,covariate_shift,0.4,6,0,0.4,1337
xgboost,steel-plates-fault,label_noise,0.05,6,4,0.4,1337
xgboost,vehicle,covariate_shift,0.0,6,6,0.4,1337
xgboost,vehicle,label_noise,0.0,6,6,0.4,1337
xgboost,wdbc,covariate_shift,0.05,6,4,0.4,1337
xgboost,wdbc,label_noise,0.05,6,4,0.4,1337
catboost,car,covariate_shift,0.4,6,0,0.4,2025
catboost,car,label_noise,0.05,6,4,0.4,2025
catboost,churn,covariate_shift,0.05,6,4,0.4,2025
catboost,churn,label_noise,0.05,6,4,0.4,2025
catboost,credit-approval,covariate_shift,0.0,6,5,0.4,2025
catboost,credit-approval,label_noise,0.05,6,4,0.4,2025
catboost,credit-g,covariate_shift,0.1,6,3,0.4,2025
catboost,credit-g,label_noise,0.1,6,3,0.4,2025
catboost,eucalyptus,covariate_shift,0.0,6,6,0.4,2025
catboost,eucalyptus,label_noise,0.0,6,4,0.4,2025
catboost,kr-vs-kp,covariate_shift,0.4,6,0,0.4,2025
catboost,kr-vs-kp,label_noise,0.0,6,5,0.4,2025
catboost,optdigits,covariate_shift,0.1,6,3,0.4,2025
catboost,optdigits,label_noise,0.05,6,4,0.4,2025
catboost,pc1,covariate_shift,0.0,6,5,0.4,2025
catboost,pc1,label_noise,0.05,6,4,0.4,2025
catboost,splice,covariate_shift,0.4,6,0,0.4,2025
catboost,splice,label_noise,0.1,6,3,0.4,2025
catboost,steel-plates-fault,covariate_shift,0.4,6,0,0.4,2025
catboost,steel-plates-fault,label_noise,0.0,6,5,0.4,2025
catboost,vehicle,covariate_shift,0.0,6,5,0.4,2025
catboost,vehicle,label_noise,0.05,6,4,0.4,2025
catboost,wdbc,covariate_shift,0.0,6,5,0.4,2025
catboost,wdbc,label_noise,0.1,6,3,0.4,2025
hist_gbdt,car,covariate_shift,0.4,6,0,0.4,2025
hist_gbdt,car,label_noise,0.05,6,4,0.4,2025
hist_gbdt,churn,covariate_shift,0.0,6,5,0.4,2025
hist_gbdt,churn,label_noise,0.05,6,4,0.4,2025
hist_gbdt,credit-approval,covariate_shift,0.0,6,6,0.4,2025
hist_gbdt,credit-approval,label_noise,0.0,6,5,0.4,2025
hist_gbdt,credit-g,covariate_shift,0.0,6,6,0.4,2025
hist_gbdt,credit-g,label_noise,0.0,6,6,0.4,2025
hist_gbdt,eucalyptus,covariate_shift,0.0,6,6,0.4,2025
hist_gbdt,eucalyptus,label_noise,0.0,6,6,0.4,2025
hist_gbdt,kr-vs-kp,covariate_shift,0.4,6,0,0.4,2025
hist_gbdt,kr-vs-kp,label_noise,0.0,6,5,0.4,2025
hist_gbdt,optdigits,covariate_shift,0.1,6,3,0.4,2025
hist_gbdt,optdigits,label_noise,0.2,6,2,0.4,2025
hist_gbdt,pc1,covariate_shift,0.0,6,5,0.4,2025
hist_gbdt,pc1,label_noise,0.0,6,5,0.4,2025
hist_gbdt,splice,covariate_shift,0.4,6,0,0.4,2025
