sel_acc_80,cov_at_risk10,aurc,accuracy,model,family,dataset_id,shift_axis,shift_lambda,status,seed
0.8608695652173913,0.6111111111111112,0.08170835110006831,0.7916666666666666,xgboost,gbdt,tic-tac-toe,label_noise,0.2,ok,42
0.7217391304347827,0.21875,0.1694893443156023,0.6840277777777778,xgboost,gbdt,tic-tac-toe,label_noise,0.3,ok,42
0.6782608695652174,0.003472222222222222,0.2972473364641652,0.6423611111111112,xgboost,gbdt,tic-tac-toe,label_noise,0.4,ok,42
1.0,1.0,0.00015779314041712296,0.9861111111111112,xgboost,gbdt,tic-tac-toe,covariate_shift,0.0,ok,42
1.0,1.0,0.00015779314041712296,0.9861111111111112,xgboost,gbdt,tic-tac-toe,covariate_shift,0.05,ok,42
1.0,1.0,0.00015779314041712296,0.9861111111111112,xgboost,gbdt,tic-tac-toe,covariate_shift,0.1,ok,42
1.0,1.0,0.00015779314041712296,0.9861111111111112,xgboost,gbdt,tic-tac-toe,covariate_shift,0.2,ok,42
1.0,1.0,0.00015779314041712296,0.9861111111111112,xgboost,gbdt,tic-tac-toe,covariate_shift,0.3,ok,42
1.0,1.0,0.00015779314041712296,0.9861111111111112,xgboost,gbdt,tic-tac-toe,covariate_shift,0.4,ok,42
1.0,1.0,2.415466242956066e-05,0.9965277777777778,catboost,gbdt,tic-tac-toe,label_noise,0.0,ok,42
1.0,1.0,0.001118442894828014,0.9756944444444444,catboost,gbdt,tic-tac-toe,label_noise,0.05,ok,42
0.9869565217391304,1.0,0.009683500008079167,0.9236111111111112,catboost,gbdt,tic-tac-toe,label_noise,0.1,ok,42
0.9521739130434783,0.9826388888888888,0.030813915948400685,0.8888888888888888,catboost,gbdt,tic-tac-toe,label_noise,0.2,ok,42
0.8260869565217391,0.4861111111111111,0.09979851646488201,0.7777777777777778,catboost,gbdt,tic-tac-toe,label_noise,0.3,ok,42
0.7434782608695653,0.0,0.21964232311491982,0.7083333333333334,catboost,gbdt,tic-tac-toe,label_noise,0.4,ok,42
1.0,1.0,2.415466242956066e-05,0.9965277777777778,catboost,gbdt,tic-tac-toe,covariate_shift,0.0,ok,42
1.0,1.0,2.415466242956066e-05,0.9965277777777778,catboost,gbdt,tic-tac-toe,covariate_shift,0.05,ok,42
1.0,1.0,2.415466242956066e-05,0.9965277777777778,catboost,gbdt,tic-tac-toe,covariate_shift,0.1,ok,42
1.0,1.0,2.415466242956066e-05,0.9965277777777778,catboost,gbdt,tic-tac-toe,covariate_shift,0.2,ok,42
1.0,1.0,2.415466242956066e-05,0.9965277777777778,catboost,gbdt,tic-tac-toe,covariate_shift,0.3,ok,42
1.0,1.0,2.415466242956066e-05,0.9965277777777778,catboost,gbdt,tic-tac-toe,covariate_shift,0.4,ok,42
1.0,1.0,0.00036673841118114656,0.9861111111111112,tabicl,icl,tic-tac-toe,label_noise,0.0,ok,42
1.0,1.0,0.0007411976575070844,0.9895833333333334,tabicl,icl,tic-tac-toe,label_noise,0.05,ok,42
1.0,1.0,0.0012520934820879621,0.9895833333333334,tabicl,icl,tic-tac-toe,label_noise,0.1,ok,42
0.9869565217391304,1.0,0.009114522491005007,0.9895833333333334,tabicl,icl,tic-tac-toe,label_noise,0.2,ok,42
1.0,1.0,0.0005746195602917162,0.9895833333333334,tabicl,icl,tic-tac-toe,label_noise,0.3,ok,42
0.9260869565217391,0.8333333333333334,0.04079309881318526,0.8229166666666666,tabicl,icl,tic-tac-toe,label_noise,0.4,ok,42
1.0,1.0,0.00036673841118114656,0.9861111111111112,tabicl,icl,tic-tac-toe,covariate_shift,0.0,ok,42
1.0,1.0,0.00036673841118114656,0.9861111111111112,tabicl,icl,tic-tac-toe,covariate_shift,0.05,ok,42
1.0,1.0,0.00036673841118114656,0.9861111111111112,tabicl,icl,tic-tac-toe,covariate_shift,0.1,ok,42
1.0,1.0,0.00036673841118114656,0.9861111111111112,tabicl,icl,tic-tac-toe,covariate_shift,0.2,ok,42
1.0,1.0,0.00036673841118114656,0.9861111111111112,tabicl,icl,tic-tac-toe,covariate_shift,0.3,ok,42
1.0,1.0,0.00036673841118114656,0.9861111111111112,tabicl,icl,tic-tac-toe,covariate_shift,0.4,ok,42
1.0,1.0,0.00014703588371416226,0.9930555555555556,tabpfn,icl,tic-tac-toe,label_noise,0.0,ok,42
1.0,1.0,0.0006923068253183736,0.9895833333333334,tabpfn,icl,tic-tac-toe,label_noise,0.05,ok,42
1.0,1.0,0.0009473662710763597,0.9895833333333334,tabpfn,icl,tic-tac-toe,label_noise,0.1,ok,42
0.9869565217391304,1.0,0.0068000593414859565,0.9895833333333334,tabpfn,icl,tic-tac-toe,label_noise,0.2,ok,42
