dataset_id,model,family,shift_axis,shift_lambda,seed,split_policy,clean_split_passed,leakage_risk_level,applicable,status,error_message,accuracy,auc,nll,nll_norm,ece,brier,ece_adaptive,ece_classwise,calib_slope,calib_intercept,utility,n_train,best_gbdt,reference_utility,failed,failure_reason,metric_notes
car,tabicl,icl,categorical_covariate_shift,0.0,2586897250,test_only,True,low,True,ok,,0.9942196531791907,0.9999804084999561,0.018456081516883497,0.01331324863932514,0.012958402790643418,0.008922905739439472,0.0085101382937765,0.0075643069228507245,4.3636515312911,-0.9862448825269189,0.49254043580193696,1209,xgboost,0.48636557107419304,False,,
car,tabicl,icl,categorical_covariate_shift,0.05,1067766471,test_only,True,high,True,ok,,0.9518304431599229,0.9777996864177868,0.41397444093371644,0.2986194364949269,0.05343421974162111,0.09944072867206162,0.05055312768497021,0.02729862545800664,0.14943612927071367,1.6745183910427883,0.3847317818234115,1209,xgboost,0.48636557107419304,True,utility_gap,
car,tabicl,icl,categorical_covariate_shift,0.1,1885504252,test_only,True,high,True,ok,,0.884393063583815,0.9311992077257571,0.9381104543384938,0.6767036501401187,0.1111090248963643,0.22663374624821492,0.10866873112962823,0.057263922054160366,0.20488639625724742,0.2611827495739733,0.23334578222027877,1209,xgboost,0.48636557107419304,True,utility_gap;ece,
car,tabicl,icl,categorical_covariate_shift,0.2,2197698047,test_only,True,high,True,ok,,0.8362235067437379,0.8737278619419281,1.4212075729642086,1.0251845587946518,0.1587411901706513,0.3231937677366525,0.156911224294639,0.08049106108753241,0.22285169208583128,-0.35238488503519005,0.09193467201870967,1209,xgboost,0.48636557107419304,True,utility_gap;ece;nll,
car,tabicl,icl,categorical_covariate_shift,0.3,2300353037,test_only,True,high,True,ok,,0.7764932562620424,0.8453194628259403,1.9872104374684734,1.433469321669277,0.2166452584116959,0.43731834309735934,0.21664540274187233,0.10975233907207983,0.2513790137183206,-1.0737595104090705,-0.06103404775473691,1209,xgboost,0.48636557107419304,True,utility_gap;ece;nll,
car,tabicl,icl,categorical_covariate_shift,0.4,3204576500,test_only,True,high,True,ok,,0.7032755298651252,0.7536153760925397,2.7637855253172785,1.9936498357279682,0.29536549303861154,0.5893474385834877,0.29311795437812355,0.1476399227128732,0.26109656924215735,-1.6562978770606922,-0.28791133821395515,1209,xgboost,0.48636557107419304,True,utility_gap;ece;nll,
car,tabpfn,icl,categorical_covariate_shift,0.0,2586897250,test_only,True,low,True,ok,,0.9942196531791907,1.0,0.020454408464139068,0.014754736827765336,0.010641771011748694,0.009206186374713344,0.010439267697586439,0.008148148439756893,3.1747151016404294,-0.3293156016306015,0.49257817272619925,1209,xgboost,0.48636557107419304,False,,
car,tabpfn,icl,categorical_covariate_shift,0.05,1067766471,test_only,True,high,True,ok,,0.9460500963391136,0.9774758781685534,0.4009606228939288,0.28923195112041045,0.050280616752474,0.10110446032360614,0.045566645042403264,0.02821697400041956,0.2222113483531485,1.2623262758270477,0.38719836312324285,1209,xgboost,0.48636557107419304,True,utility_gap,
car,tabpfn,icl,categorical_covariate_shift,0.1,1885504252,test_only,True,high,True,ok,,0.884393063583815,0.9286462644608053,0.8828769693905678,0.6368611127274247,0.10694267517846348,0.22349840720340652,0.1003608539078147,0.05552942490029164,0.2402610509127536,0.25035891823831746,0.2452382832449339,1209,xgboost,0.48636557107419304,True,utility_gap;ece,
car,tabpfn,icl,categorical_covariate_shift,0.2,2197698047,test_only,True,high,True,ok,,0.8342967244701349,0.8604914146912754,1.3595045197317777,0.9806752143415838,0.1603460319990848,0.3234456741832031,0.15571525654567978,0.0819767343041011,0.2613923031957969,-0.4084291768987419,0.10004473311017455,1209,xgboost,0.48636557107419304,True,utility_gap;ece;nll,
car,tabpfn,icl,categorical_covariate_shift,0.3,2300353037,test_only,True,high,True,ok,,0.7784200385356455,0.7969089188109753,1.8952822419031794,1.3671571457393168,0.21758536513289453,0.4351209123978036,0.21239699238147491,0.1098555934641719,0.28269368463660893,-1.002642253742286,-0.05798308938418577,1209,xgboost,0.48636557107419304,True,utility_gap;ece;nll,
car,tabpfn,icl,categorical_covariate_shift,0.4,3204576500,test_only,True,high,True,ok,,0.7013487475915221,0.6953209757698491,2.5230954166270334,1.8200286226287472,0.294351301739606,0.5875992798360814,0.29134460825204544,0.14769362517756754,0.31387817904690124,-1.7012645645619604,-0.2563141934783699,1209,xgboost,0.48636557107419304,True,utility_gap;ece;nll,
car,xgboost,gbdt,categorical_covariate_shift,0.0,2586897250,test_only,True,low,True,ok,,0.9903660886319846,0.9995355661623186,0.039674162308974886,0.028618858607290947,0.017205663976144456,0.019194281075108323,0.015242361488669413,0.012517440126572996,1.2233169812235616,0.8384307425027164,0.48636557107419304,1209,xgboost,0.48636557107419304,False,,
car,xgboost,gbdt,categorical_covariate_shift,0.05,1067766471,test_only,True,high,True,ok,,0.9460500963391136,0.9765570875855638,0.3067918368779554,0.22130353082452106,0.04842453255611637,0.1056303684696046,0.05145922118716298,0.02819351127018974,0.26922090539585614,1.280660406684257,0.4076265293472347,1209,xgboost,0.48636557107419304,True,utility_gap,
car,xgboost,gbdt,categorical_covariate_shift,0.1,1885504252,test_only,True,high,True,ok,,0.884393063583815,0.9381658202800267,0.6885338962475114,0.49667221880012036,0.10904330572810701,0.22575225573447733,0.09769939559720418,0.056513740516973575,0.28895564391433065,0.31784261209214987,0.29020666984992405,1209,xgboost,0.48636557107419304,True,utility_gap;ece,
car,xgboost,gbdt,categorical_covariate_shift,0.2,2197698047,test_only,True,high,True,ok,,0.8362235067437379,0.8770771999324133,1.0928636429473342,0.7883344790239829,0.1577046279923162,0.32151349339688157,0.14881998305394217,0.08090902908997752,0.25054266995286134,-0.0011459815955726376,0.16436927668224718,1209,xgboost,0.48636557107419304,True,utility_gap;ece;nll,
car,xgboost,gbdt,categorical_covariate_shift,0.3,2300353037,test_only,True,high,True,ok,,0.7745664739884393,0.850960172394847,1.4868609461121383,1.072543456723727,0.21155815766814504,0.43449336438602143,0.21155815766814498,0.1076443428978493,0.3009644787086828,-0.7273400143842492,0.04994636288571517,1209,xgboost,0.48636557107419304,True,utility_gap;ece;nll,
car,xgboost,gbdt,categorical_covariate_shift,0.4,3204576500,test_only,True,high,True,ok,,0.7013487475915221,0.7901075855689317,1.9699612960041406,1.4210266962441844,0.29107245082775113,0.5842999797391604,0.28599785142381473,0.14648383630456496,0.33668362080161,-1.3846775769509148,-0.10278253195095113,1209,xgboost,0.48636557107419304,True,utility_gap;ece;nll,
credit-approval,catboost,gbdt,categorical_covariate_shift,0.0,4191613765,test_only,True,low,True,ok,,0.8405797101449275,0.916257088846881,0.36979319389293913,0.5334988069838342,0.0704314563340643,0.21853684922287,0.08086687267295424,0.084698703747075,0.8934684427333445,-0.3431889287411096,0.2726410042561843,483,catboost,0.2726410042561843,False,,
credit-approval,catboost,gbdt,categorical_covariate_shift,0.05,4187467237,test_only,True,low,True,ok,,0.8405797101449275,0.9129489603024575,0.39124654209661414,0.5644494460477403,0.0543951921262312,0.23080206864510458,0.07160892989041943,0.09761014352876021,0.7945156319248282,-0.17656918948036468,0.26540522038803094,483,catboost,0.2726410042561843,False,,
credit-approval,catboost,gbdt,categorical_covariate_shift,0.1,3154470258,test_only,True,low,True,ok,,0.7971014492753623,0.8965028355387523,0.4274262808049837,0.6166457756629635,0.0727981396416286,0.2696312121552039,0.0987332189905843,0.1129270486964617,0.9660444559946672,-0.6049987500364351,0.23378784920265286,483,catboost,0.2726410042561843,True,utility_gap,
credit-approval,catboost,gbdt,categorical_covariate_shift,0.2,2082248130,test_only,True,low,True,ok,,0.8019323671497585,0.8793950850661625,0.46662458489738695,0.6731969745883313,0.0842936930300503,0.2865148914499703,0.07729029007357173,0.09897698511320538,0.7458249981724655,-0.2075504608444929,0.2092603038631112,483,catboost,0.2726410042561843,True,utility_gap,
credit-approval,catboost,gbdt,categorical_covariate_shift,0.3,370067149,test_only,True,low,True,ok,,0.7729468599033816,0.8549149338374292,0.5139294422013512,0.7414434576307205,0.08924496032571178,0.3226508605510092,0.10371311860478127,0.10999293084609946,0.7329507833944718,-0.28776458981080594,0.17488022647424895,483,catboost,0.2726410042561843,True,utility_gap,
credit-approval,catboost,gbdt,categorical_covariate_shift,0.4,1568213478,test_only,True,low,True,ok,,0.7632850241545893,0.839413988657845,0.5401964299952814,0.7793387106601146,0.09581251083738128,0.34177779676624476,0.10894322254097638,0.11515666783916512,0.6748939284661646,-0.18547483357808203,0.15532353428792348,483,catboost,0.2726410042561843,True,utility_gap;nll,
credit-approval,hist_gbdt,gbdt,categorical_covariate_shift,0.0,4191613765,test_only,True,low,True,ok,,0.8454106280193237,0.9205576559546313,0.4637419082345456,0.6690381512623637,0.0854360452796265,0.2392110836483792,0.09255140628491494,0.09997019594179549,0.5002844702867634,-0.09634293447170561,0.23120811935238508,483,catboost,0.2726410042561843,True,utility_gap,
credit-approval,hist_gbdt,gbdt,categorical_covariate_shift,0.05,4187467237,test_only,True,low,True,ok,,0.8454106280193237,0.9073251417769377,0.5204345172934015,0.7508282972066318,0.10520840889220773,0.25575351461354556,0.09165905630851721,0.10605640702659043,0.40453098164887874,0.16695557320496973,0.19808522288439565,483,catboost,0.2726410042561843,True,utility_gap;ece;nll,
