model,cell,in_common,rho_grid,rho_self
tabpfn_client,"('credit-approval', 'covariate_shift')",False,0.1,0.1
tabpfn_client,"('credit-approval', 'label_noise')",False,0.1,0.1
tabpfn_client,"('credit-g', 'covariate_shift')",False,0.4,0.4
tabpfn_client,"('credit-g', 'label_noise')",False,0.1,0.1
tabpfn_client,"('eucalyptus', 'covariate_shift')",False,0.0,0.0
tabpfn_client,"('eucalyptus', 'label_noise')",False,0.05,0.05
tabpfn_client,"('kr-vs-kp', 'covariate_shift')",False,0.4,0.4
tabpfn_client,"('kr-vs-kp', 'label_noise')",False,0.0,0.05
tabpfn_client,"('optdigits', 'covariate_shift')",True,0.0,0.0
tabpfn_client,"('optdigits', 'label_noise')",True,0.1,0.1
tabpfn_client,"('pc1', 'covariate_shift')",False,0.05,0.05
tabpfn_client,"('pc1', 'label_noise')",False,0.05,0.05
tabpfn_client,"('splice', 'covariate_shift')",True,0.4,0.4
tabpfn_client,"('splice', 'label_noise')",True,0.05,0.05
tabpfn_client,"('steel-plates-fault', 'covariate_shift')",True,0.0,0.0
tabpfn_client,"('steel-plates-fault', 'label_noise')",True,0.05,0.05
tabpfn_client,"('vehicle', 'covariate_shift')",False,0.05,0.0
tabpfn_client,"('vehicle', 'label_noise')",False,0.1,0.05
tabpfn_client,"('wdbc', 'covariate_shift')",True,0.05,0.0
tabpfn_client,"('wdbc', 'label_noise')",True,0.1,0.0
xgboost_tuned,"('car', 'covariate_shift')",False,0.4,0.4
xgboost_tuned,"('car', 'label_noise')",False,0.0,0.0
xgboost_tuned,"('churn', 'covariate_shift')",False,0.05,0.05
xgboost_tuned,"('churn', 'label_noise')",False,0.05,0.05
xgboost_tuned,"('credit-approval', 'covariate_shift')",False,0.05,0.05
xgboost_tuned,"('credit-approval', 'label_noise')",False,0.1,0.1
xgboost_tuned,"('credit-g', 'covariate_shift')",False,0.4,0.4
xgboost_tuned,"('credit-g', 'label_noise')",False,0.05,0.1
xgboost_tuned,"('eucalyptus', 'covariate_shift')",False,0.0,0.0
xgboost_tuned,"('eucalyptus', 'label_noise')",False,0.0,0.1
xgboost_tuned,"('kr-vs-kp', 'covariate_shift')",False,0.4,0.4
xgboost_tuned,"('kr-vs-kp', 'label_noise')",False,0.0,0.0
xgboost_tuned,"('optdigits', 'covariate_shift')",True,0.1,0.1
xgboost_tuned,"('optdigits', 'label_noise')",True,0.05,0.05
xgboost_tuned,"('pc1', 'covariate_shift')",False,0.05,0.05
xgboost_tuned,"('pc1', 'label_noise')",False,0.0,0.0
xgboost_tuned,"('splice', 'covariate_shift')",True,0.4,0.4
xgboost_tuned,"('splice', 'label_noise')",True,0.0,0.0
xgboost_tuned,"('steel-plates-fault', 'covariate_shift')",True,0.4,0.4
xgboost_tuned,"('steel-plates-fault', 'label_noise')",True,0.0,0.0
xgboost_tuned,"('vehicle', 'covariate_shift')",False,0.05,0.05
xgboost_tuned,"('vehicle', 'label_noise')",False,0.05,0.05
xgboost_tuned,"('wdbc', 'covariate_shift')",True,0.0,0.0
xgboost_tuned,"('wdbc', 'label_noise')",True,0.05,0.05
