dataset_id,model,family,shift_axis,shift_lambda,split_policy,clean_split_passed,leakage_risk_level,applicable,status,error_message,accuracy,auc,nll,nll_norm,ece,brier,ece_adaptive,ece_classwise,calib_slope,calib_intercept,utility,n_train,best_gbdt,reference_utility,failed,failure_reason,metric_notes
MiceProtein,tabicl,icl,label_noise,0.0,train_only,True,low,True,ok,,0.9969135802469136,1.0,0.005196722982821,0.0024990954920632,0.0024859780302344,0.0040424761484967,0.0024811091229936,0.000629048528464,1.7492360266620377,-8.417935531643774,0.4982901127833711,756,catboost_tuned,0.4707136815949769,False,,
MiceProtein,tabicl,icl,label_noise,0.05,train_only,True,low,True,ok,,0.9969135802469136,1.0,0.0357449151364483,0.0171896706014502,0.0325578065500022,0.004819580855677,0.0284950789611663,0.0082241858584613,7.776344953260081,-8.586299403666063,0.4878685745466014,756,catboost_tuned,0.4707136815949769,False,,
MiceProtein,tabicl,icl,label_noise,0.1,train_only,True,low,True,ok,,0.9938271604938272,0.9999601752289924,0.0993615810442065,0.0477828200757878,0.0805866774905466,0.0200468667871401,0.0771976289248344,0.020463141874969,71.77948252911935,-31.91143063683967,0.4686079538833756,756,catboost_tuned,0.4707136815949769,False,,
MiceProtein,tabicl,icl,label_noise,0.2,train_only,True,low,True,ok,,0.9938271604938272,0.999990043807248,0.1976901023864671,0.0950688434485958,0.1648874387815372,0.0471169729771171,0.1648874387815372,0.0430854445624627,4.099617824281586,1.9050743239905643,0.4375724486157247,756,catboost_tuned,0.4707136815949769,True,utility_gap;ece,
MiceProtein,tabicl,icl,label_noise,0.3,train_only,True,low,True,ok,,0.9876543209876544,0.9997961697404658,0.3581485090750914,0.1722330259814701,0.2723529665578809,0.1168079194547241,0.2723529665578809,0.0704186975098747,3.538946558685048,3.225375492714655,0.3919363064512939,756,catboost_tuned,0.4707136815949769,True,utility_gap;ece,
MiceProtein,tabicl,icl,label_noise,0.4,train_only,True,low,True,ok,,0.9876543209876544,0.999893106773857,0.5512222093487295,0.26508184928509,0.3917251708365233,0.2153451733049809,0.3917251708365232,0.0998701519642302,2.7366502727725464,4.524984843062745,0.3402411465661664,756,catboost_tuned,0.4707136815949769,True,utility_gap;ece,
PhishingWebsites,logreg,linear,covariate_shift,0.0,test_only,False,high,True,ok,,0.9460355743141392,0.9890220950318406,0.1336426093083416,0.1928055297006057,0.0125258346938986,0.0809221258141814,0.0073898084551782,0.0140840029315811,1.145685724016071,-0.0492437485621346,0.4277162435593036,7738,xgboost_tuned,0.4624427479725634,True,utility_gap,
PhishingWebsites,logreg,linear,covariate_shift,0.05,test_only,False,high,True,ok,,0.9460355743141392,0.9890220950318406,0.1336426093083416,0.1928055297006057,0.0125258346938986,0.0809221258141814,0.0073898084551782,0.0140840029315811,1.145685724016071,-0.0492437485621346,0.4277162435593036,7738,xgboost_tuned,0.4624427479725634,True,utility_gap,
PhishingWebsites,logreg,linear,covariate_shift,0.1,test_only,False,high,True,ok,,0.9460355743141392,0.9890220950318406,0.1336426093083416,0.1928055297006057,0.0125258346938986,0.0809221258141814,0.0073898084551782,0.0140840029315811,1.145685724016071,-0.0492437485621346,0.4277162435593036,7738,xgboost_tuned,0.4624427479725634,True,utility_gap,
PhishingWebsites,logreg,linear,covariate_shift,0.2,test_only,False,high,True,ok,,0.9460355743141392,0.9890220950318406,0.1336426093083416,0.1928055297006057,0.0125258346938986,0.0809221258141814,0.0073898084551782,0.0140840029315811,1.145685724016071,-0.0492437485621346,0.4277162435593036,7738,xgboost_tuned,0.4624427479725634,True,utility_gap,
PhishingWebsites,logreg,linear,covariate_shift,0.3,test_only,False,high,True,ok,,0.9460355743141392,0.9890220950318406,0.1336426093083416,0.1928055297006057,0.0125258346938986,0.0809221258141814,0.0073898084551782,0.0140840029315811,1.145685724016071,-0.0492437485621346,0.4277162435593036,7738,xgboost_tuned,0.4624427479725634,True,utility_gap,
PhishingWebsites,logreg,linear,covariate_shift,0.4,test_only,False,high,True,ok,,0.9460355743141392,0.9890220950318406,0.1336426093083416,0.1928055297006057,0.0125258346938986,0.0809221258141814,0.0073898084551782,0.0140840029315811,1.145685724016071,-0.0492437485621346,0.4277162435593036,7738,xgboost_tuned,0.4624427479725634,True,utility_gap,
PhishingWebsites,tabicl,icl,covariate_shift,0.0,test_only,False,high,True,ok,,0.9785951160687368,0.9984103657705636,0.0503989075816046,0.0727102540342021,0.0039666391428627,0.0308478717209531,0.0020642939297485,0.0059042818038489,1.0453555322528247,-0.0709280624840541,0.4736264913911746,7738,xgboost_tuned,0.4624427479725634,False,,
PhishingWebsites,tabicl,icl,covariate_shift,0.05,test_only,False,high,True,ok,,0.9785951160687368,0.9984166270731358,0.050089673483072,0.0722641235337754,0.0086905363919165,0.0306545298654943,0.002474699608466,0.0090468395289352,1.0798243542761072,-0.10570670294163,0.472817742547392,7738,xgboost_tuned,0.4624427479725634,False,,
PhishingWebsites,tabicl,icl,covariate_shift,0.1,test_only,False,high,True,ok,,0.9785951160687368,0.998463402686467,0.0497232610648799,0.0717355021551295,0.0070433269496108,0.0304914191163909,0.0028548454004256,0.0089903897575777,1.0780856095096358,-0.1316503436877857,0.4733221423141129,7738,xgboost_tuned,0.4624427479725634,False,,
PhishingWebsites,tabicl,icl,covariate_shift,0.2,test_only,False,high,True,ok,,0.9779921615917998,0.9984628502185932,0.0499084602144064,0.0720026880497283,0.0047945225099059,0.0306545994239469,0.0024373458929055,0.0069811929097948,1.1170543655081044,-0.1683680922104944,0.4736011108983778,7738,xgboost_tuned,0.4624427479725634,False,,
PhishingWebsites,tabicl,icl,covariate_shift,0.3,test_only,False,high,True,ok,,0.9788965933072054,0.9984146013575976,0.0501326017533104,0.0723260559363623,0.0058516050370597,0.0304476780776026,0.0019741522019127,0.0075937054950406,1.05557221314165,-0.0433706156607309,0.4734114616829192,7738,xgboost_tuned,0.4624427479725634,False,,
PhishingWebsites,tabicl,icl,covariate_shift,0.4,test_only,False,high,True,ok,,0.9788965933072054,0.9984147855135558,0.0504970491160932,0.0728518423393141,0.0057869540293054,0.0309298961952283,0.0026479001150717,0.0070927494852385,1.0001720863010026,0.0226988308609105,0.47326672041817,7738,xgboost_tuned,0.4624427479725634,False,,
PhishingWebsites,logreg,linear,label_noise,0.0,train_only,False,high,True,ok,,0.9460355743141392,0.9890220950318406,0.1336426093083416,0.1928055297006057,0.0125258346938986,0.0809221258141814,0.0073898084551782,0.0140840029315811,1.145685724016071,-0.0492437485621346,0.4277162435593036,7738,xgboost_tuned,0.4624427479725634,True,utility_gap,
PhishingWebsites,logreg,linear,label_noise,0.05,train_only,False,high,True,ok,,0.9372927343985528,0.9878376039099992,0.1833271393236164,0.2644851547625415,0.0665804273529944,0.0968575540595901,0.066000471668009,0.0674645104974975,2.2647493887866235,-0.4722670682736958,0.3936754396289213,7738,xgboost_tuned,0.4624427479725634,True,utility_gap,
PhishingWebsites,logreg,linear,label_noise,0.1,train_only,False,high,True,ok,,0.933072053059994,0.9869385545230543,0.2260610251928971,0.3261371199840677,0.0989378055932203,0.1145634911367796,0.0991790674491243,0.1051890076321253,2.8888689260124507,-0.5806346179022399,0.3677606049282037,7738,xgboost_tuned,0.4624427479725634,True,utility_gap,
PhishingWebsites,logreg,linear,label_noise,0.2,train_only,False,high,True,ok,,0.934880916490805,0.9847191069172662,0.3389841592912275,0.4890507655493683,0.1983508431878733,0.1806555970778391,0.1983508431878733,0.1962892183525593,4.048958985369158,-0.1810315586021038,0.2984984265922787,7738,xgboost_tuned,0.4624427479725634,True,utility_gap;ece,
PhishingWebsites,logreg,linear,label_noise,0.3,train_only,False,high,True,ok,,0.9219173952366596,0.982469826046282,0.4347900530342247,0.6272694533403254,0.2591689296948725,0.254608017867171,0.2591689296948725,0.261364349254626,7.093406012261195,-0.6877001773444712,0.2421374264606255,7738,xgboost_tuned,0.4624427479725634,True,utility_gap;ece,
PhishingWebsites,logreg,linear,label_noise,0.4,train_only,False,high,True,ok,,0.9077479650286404,0.9689306800142904,0.5515498037549729,0.7957181666805804,0.3224970786539279,0.360691667012868,0.3224970786539279,0.3152393447008655,10.156701085459446,-0.2017429603125745,0.172073067024338,7738,xgboost_tuned,0.4624427479725634,True,utility_gap;ece;nll,
PhishingWebsites,tabicl,icl,label_noise,0.0,train_only,False,high,True,ok,,0.9785951160687368,0.9984103657705636,0.0503989075816046,0.0727102540342021,0.0039666391428627,0.0308478717209531,0.0020642939297485,0.0059042818038489,1.0453555322528247,-0.0709280624840541,0.4736264913911746,7738,xgboost_tuned,0.4624427479725634,False,,
PhishingWebsites,tabicl,icl,label_noise,0.05,train_only,False,high,True,ok,,0.9749773892071149,0.997821435016887,0.0906006304914924,0.1307090803114895,0.0373256876751443,0.0389357473178367,0.0359228981844492,0.0411789611617931,1.999994934000062,-0.6128412082642986,0.4488062490085019,7738,xgboost_tuned,0.4624427479725634,False,,
PhishingWebsites,tabicl,icl,label_noise,0.1,train_only,False,high,True,ok,,0.9722640940608984,0.996945220968734,0.137231090529676,0.197982613762948,0.0775676272547258,0.0539239259642366,0.0775676272547258,0.0787857396075075,2.4375812204136205,-0.4056162995968011,0.4198621318683621,7738,xgboost_tuned,0.4624427479725634,True,utility_gap,
PhishingWebsites,tabicl,icl,label_noise,0.2,train_only,False,high,True,ok,,0.965330117576123,0.9935830856435698,0.2485692785993892,0.358609665552686,0.1675722281268019,0.1088064022988138,0.1675722281268019,0.1677940123502136,3.709831886730684,-0.5070976091090919,0.3514562523205016,7738,xgboost_tuned,0.4624427479725634,True,utility_gap;ece,
PhishingWebsites,tabicl,icl,label_noise,0.3,train_only,False,high,True,ok,,0.9406089840217065,0.9899478470326952,0.3927828302928389,0.56666584140981,0.2537270651386762,0.2163699551484173,0.2500255156542643,0.2527001558664118,6.9284122653351705,-1.3434253325287953,0.2668279286140209,7738,xgboost_tuned,0.4624427479725634,True,utility_gap;ece,
PhishingWebsites,tabicl,icl,label_noise,0.4,train_only,False,high,True,ok,,0.7711787760024118,0.8632837217182487,0.5568728976701227,0.8033977678741533,0.1496461563319289,0.3696775133090879,0.1501836459418777,0.1725272115727234,2.6291212290227004,0.0743597988279377,0.146877557373117,7738,xgboost_tuned,0.4624427479725634,True,utility_gap;ece;nll,
analcatdata_authorship,logreg,linear,covariate_shift,0.0,test_only,True,low,True,ok,,0.9960474308300395,0.9998986493703202,0.0206747353725381,0.0149136690968261,0.0097684544964624,0.0095110630144041,0.0054561598676577,0.0060770253279695,0.9535893799185458,1.1023364628604189,0.4929438502757776,588,catboost_tuned,0.4929958686522319,False,,
analcatdata_authorship,logreg,linear,covariate_shift,0.05,test_only,True,low,True,ok,,0.9960474308300395,0.9998643934097832,0.0266698148329947,0.0192382048004942,0.00701653461943,0.0106551716970511,0.0123089623061565,0.0064987737995597,0.6300691280838108,2.2282832190216486,0.4921848839538957,588,catboost_tuned,0.4929958686522319,False,,
analcatdata_authorship,logreg,linear,covariate_shift,0.1,test_only,True,low,True,ok,,0.9920948616600792,0.999830137449246,0.0406232639206613,0.0293034907015308,0.0109607551416773,0.0166774573416117,0.0153962091259383,0.0105067983788186,0.7212245628631115,1.5591678705700085,0.4877715791174532,588,catboost_tuned,0.4929958686522319,False,,
