model,dataset_id,shift_axis,rho,n_lambda,n_failed,max_lambda,base_seed
catboost,churn,categorical_covariate_shift,0.05,6,4,0.4,2025
catboost,cmc,categorical_covariate_shift,0.0,6,6,0.4,2025
catboost,credit-approval,categorical_covariate_shift,0.05,6,4,0.4,2025
catboost,credit-g,categorical_covariate_shift,0.1,6,3,0.4,2025
catboost,dna,categorical_covariate_shift,0.0,6,5,0.4,2025
catboost,dresses-sales,categorical_covariate_shift,0.0,6,6,0.4,2025
catboost,eucalyptus,categorical_covariate_shift,0.0,6,2,0.4,2025
catboost,ilpd,categorical_covariate_shift,0.0,6,3,0.4,2025
catboost,kr-vs-kp,categorical_covariate_shift,0.0,6,5,0.4,2025
catboost,splice,categorical_covariate_shift,0.0,6,5,0.4,2025
catboost,tic-tac-toe,categorical_covariate_shift,0.0,6,5,0.4,2025
catboost,vowel,categorical_covariate_shift,0.4,6,0,0.4,2025
hist_gbdt,PhishingWebsites,categorical_covariate_shift,0.0,6,5,0.4,2025
hist_gbdt,car,categorical_covariate_shift,0.0,6,5,0.4,2025
hist_gbdt,churn,categorical_covariate_shift,0.0,6,5,0.4,2025
hist_gbdt,cmc,categorical_covariate_shift,0.0,6,6,0.4,2025
hist_gbdt,credit-approval,categorical_covariate_shift,0.0,6,6,0.4,2025
hist_gbdt,credit-g,categorical_covariate_shift,0.0,6,6,0.4,2025
hist_gbdt,dna,categorical_covariate_shift,0.0,6,5,0.4,2025
hist_gbdt,dresses-sales,categorical_covariate_shift,0.0,6,6,0.4,2025
hist_gbdt,eucalyptus,categorical_covariate_shift,0.0,6,6,0.4,2025
hist_gbdt,ilpd,categorical_covariate_shift,0.0,6,6,0.4,2025
hist_gbdt,kr-vs-kp,categorical_covariate_shift,0.0,6,5,0.4,2025
hist_gbdt,splice,categorical_covariate_shift,0.0,6,5,0.4,2025
hist_gbdt,tic-tac-toe,categorical_covariate_shift,0.0,6,5,0.4,2025
hist_gbdt,vowel,categorical_covariate_shift,0.4,6,0,0.4,2025
logreg,PhishingWebsites,categorical_covariate_shift,0.0,6,6,0.4,2025
logreg,car,categorical_covariate_shift,0.0,6,6,0.4,2025
logreg,churn,categorical_covariate_shift,0.0,6,6,0.4,2025
logreg,cmc,categorical_covariate_shift,0.0,6,6,0.4,2025
logreg,credit-approval,categorical_covariate_shift,0.05,6,4,0.4,2025
logreg,credit-g,categorical_covariate_shift,0.0,6,6,0.4,2025
logreg,dna,categorical_covariate_shift,0.0,6,5,0.4,2025
logreg,dresses-sales,categorical_covariate_shift,0.0,6,6,0.4,2025
logreg,eucalyptus,categorical_covariate_shift,0.4,6,0,0.4,2025
logreg,ilpd,categorical_covariate_shift,0.4,6,0,0.4,2025
logreg,kr-vs-kp,categorical_covariate_shift,0.0,6,6,0.4,2025
logreg,splice,categorical_covariate_shift,0.0,6,5,0.4,2025
logreg,tic-tac-toe,categorical_covariate_shift,0.0,6,6,0.4,2025
logreg,vowel,categorical_covariate_shift,0.0,6,6,0.4,2025
tabicl,PhishingWebsites,categorical_covariate_shift,0.0,6,5,0.4,2025
tabicl,car,categorical_covariate_shift,0.0,6,5,0.4,2025
tabicl,churn,categorical_covariate_shift,0.0,6,5,0.4,2025
tabicl,cmc,categorical_covariate_shift,0.0,6,6,0.4,2025
tabicl,credit-approval,categorical_covariate_shift,0.0,6,5,0.4,2025
tabicl,credit-g,categorical_covariate_shift,0.1,6,3,0.4,2025
tabicl,dna,categorical_covariate_shift,0.0,6,5,0.4,2025
tabicl,dresses-sales,categorical_covariate_shift,0.0,6,6,0.4,2025
tabicl,eucalyptus,categorical_covariate_shift,0.4,6,0,0.4,2025
